"26","8","1","Ullathorne Road","Aldsington Road","","","RG 12/456","86
"
"26","8","258","Wandsworth Plain","Wandsworth High Street","","Middle Mill Cottage, Wandsworth Plain","RG 12/445","17
"
"26","8","259","Wandsworth Plain","Wandsworth High Street","","Mill and Nursery Houses, Wandsworth Plain","RG 12/445","17
"
"26","8","260","Wandsworth Road","Clapham","","2-4 even","RG 12/440","183-184
"
"26","8","261","Wandsworth Road","Clapham","","256-352 even","RG 12/441","58-63
"
"26","8","262","Wandsworth Road","Clapham","","354-400 even","RG 12/441","30-32
"
"26","8","263","Wandsworth Road","Clapham","","371-497 odd","RG 12/441","82-90
"
"26","8","264","Wandsworth Road","Clapham","","402-448 even","RG 12/440","170-172
"
"26","8","265","Wandsworth Road","Clapham","","450-514 even","RG 12/440","162-166
"
"26","8","266","Wandsworth Road","Clapham","","499-505 odd","RG 12/441","81
"
"26","8","267","Wandsworth Road","Clapham","","509-513 odd","RG 12/441","8
"
"26","8","268","Wandsworth Road","Clapham","","515-653A odd","RG 12/441","4-11
"
"26","8","269","Wandsworth Road","Clapham","","516-558 even","RG 12/440","149-151
"
"26","8","270","Wandsworth Road","Clapham","","560-650 even","RG 12/440","104-108
"
"26","8","271","Wandsworth Road","Clapham","","6-10","RG 12/441","80-81
"
"26","8","272","Wandsworth Road","Clapham","","6-11","RG 12/440","183
"
"26","8","273","Wandsworth Road","Clapham","","645-711 odd","RG 12/440","60-63
"
"26","8","274","Wandsworth Road","Clapham","","713-733 odd","RG 12/440","71-72
"
"26","8","275","Wandsworth Road","Clapham","","735-737 odd","RG 12/440","74-75
"
"26","8","276","Wandsworth Road","Clapham","","743-755 odd","RG 12/440","80-81
"
"26","8","277","Wandsworth Road","Clapham","","757-767 odd","RG 12/440","86-87
"
"26","8","278","Wandsworth Road","Clapham","","Albion Terrace, Wandsworth Road, 1-5","RG 12/441","83-84
"
"26","8","279","Wandsworth Road","Clapham","","Courland Cottages, Wandsworth Road, 1-4","RG 12/441","61
"
"26","8","280","Wandsworth Road","Clapham","","Lambourn House, Wandsworth Road, 713","RG 12/440","71
"
"26","8","281","Wandsworth Road","Clapham","","Lincoln House, Wandsworth Road, 731","RG 12/440","72
"
"26","8","282","Wandsworth Road","Clapham","","Lodging House, Wandsworth Road, 372","RG 12/441","30-31
"
"26","8","283","Wandsworth Road","Clapham","","Norfolk House, Wandsworth Road, 721","RG 12/440","71
"
"26","8","284","Wandsworth Road","Clapham","","Pensbury Terrace, Wandsworth Road, 1-5","RG 12/441","81-82
"
