"6","4","194","Lower Clapton Road","","","Clapton Place Lower","RG 12/192","58
"
"6","4","195","Lower Clapton Road","","","Clapton Place Upper","RG 12/196","67-68
"
"6","4","196","Lower Clapton Road","","","Deaf & Dumb Asylum, Lower Clapton Road","RG 12/196","76
"
"6","4","197","Lower Clapton Road","","","Elm, Stanley, Durham & Percy Houses, Cromwell Lodge and others","RG 12/198","24-25
"
"6","4","198","Lower Clapton Road","","","Five Elms Terrace, Lower Clapton Road, 1-9","RG 12/198","108-109
"
"6","4","199","Lower Clapton Road","","","Hamilton Terrace, Lower Clapton Road, 13-16","RG 12/198","28
"
"6","4","200","Lower Clapton Road","","","Hamilton Terrace, Lower Clapton Road, 9-12","RG 12/198","35
"
"6","4","201","Lower Clapton Road","","","High Road, Unnumbered etc","RG 12/196","72-82
"
"6","4","202","Lower Clapton Road","","","Lea Bridge Corner","RG 12/198","5
"
"6","4","203","Lower Clapton Road","","","Lord Cecil Public House, Christie & Drayton Houses, Lower Clapton Road","RG 12/200","87
"
"6","4","204","Lower Clapton Road","","","Maitland Place, Lower Clapton Road","RG 12/196","74
"
"6","4","205","Lower Clapton Road","","","Northumberland House Blind School, Lower Clapton Road","RG 12/198","27
"
"6","4","206","Lower Clapton Road","","","Portland House & 1-4","RG 12/200","88
"
"6","4","207","Lower Clapton Road","","","Portland Place North","RG 12/196","68-69
"
"6","4","208","Lower Clapton Road","","","Portland Place South","RG 12/196","40-41
"
"6","4","209","Lower Clapton Road","","","St James Terrace & Villas, Lower Clapton Road","RG 12/198","11-12
"
"6","4","210","Lower Clapton Road","","","Salvation Army Barracks","RG 12/203","125-129
"
"6","4","211","Lower Clapton Road","","","Wickham Place, Lower Clapton Road","RG 12/198","27-28
"
"6","4","212","Lower Clapton Road","","","unnumbered, Lower Clapton Road","RG 12/196","88-89
"
"6","4","213","Lower Pear Tree Court & PIace","Clapton Road","","","RG 12/196","78-79
"
"6","4","214","Lyme Grove","Mare Street","","","RG 12/195","104
"
"6","4","215","Lyme Grove","Mare Street","","1-13","RG 12/195","105-103
"
"6","4","216","Lyme Grove","Mare Street","","1A-2A","RG 12/195","103
"
"6","4","217","Lyme Grove","Mare Street","","Albert & St Thomas Cottages, Lyme Grove","RG 12/195","106
"
"6","4","218","Lyme Grove","Mare Street","","Bakers Almshouses, Lyme Grove","RG 12/195","106
"
"6","4","219","Lyme Grove","Mare Street","","Burford House, Lyme Grove","RG 12/195","105-106
"
"6","4","220","Lyme Grove","Mare Street","","Lyme & Victoria Cottages, Lyme Grove","RG 12/195","104
"
"6","4","221","Lyme Grove","Mare Street","","Pilgrims Lodge, Lyme Grove","RG 12/195","103
"
"6","4","222","Lyme Grove","Mare Street","","Rose Cottages, Lyme Grove","RG 12/195","102-103
"
