"11","3","189","Hercules Road","Lambeth Road","","Tudor Lodge, Hercules Road","RG 12/391","113
"
"11","3","190","Hercules Terrace","Hercules Road","later part Newnham Terrace","1-17 and Avenue Cottage, Hercules Terrace","RG 12/391","86-89
"
"11","3","191","Herne Hill","","","18-70 even (named houses not yet numbered)","RG 12/415","64-69
"
"11","3","192","Herne Hill","","","2-16 even","RG 12/415","47-48
"
"11","3","193","Herne Hill","","Remainder in CAMBERWELL District","","",""
"11","3","194","Herne Hill Road","Coldharbour Lane","","1-9 odd","RG 12/415","14-15
"
"11","3","195","Herne Hill Road","Coldharbour Lane","","11-63 odd","RG 12/416","2-4
"
"11","3","196","Herne Hill Road","Coldharbour Lane","","14-84 even","RG 12/415","161-164
"
"11","3","197","Herne Hill Road","Coldharbour Lane","","2-12 even","RG 12/4125","14-15
"
"11","3","198","Herne Hill Road","Coldharbour Lane","","St Saviours Vicarage, Herne Hill Road","RG 12/416","4
"
"11","3","199","Herne Place","Dulwich Road","","","RG 12/412","105-108
"
"11","3","200","Heron Road","Milkwood Road","now contains part Lowden Road","","RG 12/415","120-127
"
"11","3","201","Hetherington Road","Bedford Road","","","RG 12/408","73-77
"
"11","3","202","Hewlett Terrace","part Pulross Road","","","RG 12/409","108-110
"
"11","3","203","Heyford Avenue","Old South Lambeth Road","","","RG 12/399","158-168
"
"11","3","204","Heyford Terrace","Old South Lambeth Road","","","RG 12/399","140-141
"
"11","3","205","Highland Road","Central Hill","","","RG 12/419","103-106
"
"11","3","206","Hilda Road","Mostyn Road","","","RG 12/405","101-103
"
"11","3","207","Hillside Road","Christchurch Road","","","RG 12/417","56-57
"
"11","3","208","Hinton Road","Coldharbour Lane","","1-5 odd","RG 12/415","140
"
"11","3","209","Hinton Road","Coldharbour Lane","","18-52 even","RG 12/415","146-148
"
"11","3","210","Hinton Road","Coldharbour Lane","","2-16 even","RG 12/415","91-92
"
"11","3","211","Hinton Road","Coldharbour Lane","","54-56 even","RG 12/415","148, 164-165
"
"11","3","212","Hinton Road","Coldharbour Lane","","58 even","RG 12/415","148-149
"
"11","3","213","Hinton Road","Coldharbour Lane","","7-85 odd","RG 12/415","143-146
"
"11","3","214","Hinton Road","Coldharbour Lane","","part, Hinton Road, 17","RG 12/415","153
"
"11","3","215","Hinton Terrace","Coldharbour Lane","","","RG 12/414","119-120
"
