"23","7","1","St Agnes Villas & Vicarage","Kennington Park","","","RG 12/364","4
"
"23","7","212","Swan Court, Place & Row","Borough High Street","","Court, Swan Court, Place & Row, Swan Court, Place & Row","RG 12/352","15
"
"23","7","213","Swan Court, Place & Row","Borough High Street","later pt Avon Place. Row & Yard demolished","Place, Swan Court, Place & Row, Swan Court, Place & Row","RG 12/352","14-15
"
"23","7","214","Swan House","Swan Street","","","RG 12/345","126
"
"23","7","215","Swan Place","Draper Street","later Sherston Place","","RG 12/366","45-46
"
"23","7","216","Swan Place","Old Kent Road","later Comus Place for No 4B see f 110","","RG 12/345","121-126
"
"23","7","217","Swan Place","Old Kent Road or Row Uxbridge Road","later Foston Place","","RG 12/352","121-122
"
"23","7","218","Swan Street","","","2-20 even","RG 12/352","8
"
"23","7","219","Swan Street","","","29-37 odd","RG 12/352","55
"
"23","7","220","Swan Street","","","39 & 41 odd","RG 12/352","55, 62
"
"23","7","221","Swan Street","","","43-67 odd","RG 12/352","53-55
"
"23","7","222","Swan Street","","","County Court","RG 12/352","53
"
"23","7","223","Swan Street","","","Trinity Street 1-27 odd","RG 12/351","125-127
"
"23","7","224","Swan Street","","22-36 even rebuilding","38-54 even","RG 12/352","10-11
"
"23","7","225","Swan Street","","Nos repeated","46-70 even","RG 12/352","52-53
"
"23","7","226","Tabard Inn & Yard","85 Borough High Street","","","RG 12/342","6
"
"23","7","227","Tabard Street","","","174-222 even rebuilding 224-252 even","RG 12/351","29-31
"
"23","7","228","Tabard Street","","","175-205 odd","RG 12/344","112-113
"
"23","7","229","Tabard Street","","","2-4 even","RG 12/351","12
"
"23","7","230","Tabard Street","","","207-209 odd","RG 12/344","141
"
"23","7","231","Tabard Street","","","211 odd","RG 12/344","161
"
"23","7","232","Tabard Street","","","213? odd","RG 12/344","156
"
"23","7","233","Tabard Street","","","215 odd","RG 12/344","161
"
"23","7","234","Tabard Street","","","217 odd","RG 12/344","141, 162
"
"23","7","235","Tabard Street","","","219 odd","RG 12/344","149
"
"23","7","236","Tabard Street","","","221 odd","RG 12/344","141-162
"
"23","7","237","Tabard Street","","","231 odd","RG 12/344","161
"
"23","7","238","Tabard Street","","","233 odd","RG 12/344","140-141
"
"23","7","239","Tabard Street","","","235 odd","RG 12/344","140
"
"23","7","240","Tabard Street","","","237-261 odd","RG 12/344","166
"
"23","7","241","Tabard Street","","","254-302 even","RG 12/351","62-64
"
"23","7","242","Tabard Street","","","263-299 odd","RG 12/344","168-169
"
"23","7","243","Tabard Street","","","6-28 rebuilding 30-64 even mixed up","RG 12/351","17-19
"
"23","7","244","Tabard Street","","","66-70 even","RG 12/351","15
"
"23","7","245","Tabard Street","","","72-172 even","RG 12/351","23-29
"
"23","7","246","Tabard Street","","","97-173 odd","RG 12/344","91-95
"
"23","7","247","Tabard Street","","","Long Lane 1-95 odd","RG 12/344","72-77
"
"23","7","248","Tabard Street","","223-227 odd empty","229 odd","RG 12/344","141
"
"23","7","249","Talbot Inn Yard","87 Borough High Street","","","RG 12/342","6
"
"23","7","250","Tarver Road","Delverton Road","","","RG 12/364","76-81
"
"23","7","251","Tatum Street & Court","Barlow Street mixed up","","","RG 12/362","31-34
"
"23","7","252","Taylors Court or Place","William Street","","","RG 12/346","61
"
"23","7","253","Taylors Yard","Moss Alley","","","RG 12/343","67
"
"23","7","254","Temple Street","","","1A-2A odd","RG 12/349","14-15
"
"23","7","255","Temple Street","","","St Georges Road 3-41 odd","RG 12/349","9-14
"
"23","7","256","Temple Street","","Remainder in LAMBETH District 2-34 even","","RG 12/349","15-19
"
