"11","1","291","Brixton Hill","","","72-76 even","RG 12/410","63
"
"11","1","292","Brixton Hill","","","78-112 even","RG 12/410","91-93
"
"11","1","293","Brixton Hill","","","87-121 odd","RG 12/411","115-116
"
"11","1","294","Brixton Hill","","","Catholic Church House, Brixton Hill","RG 12/410","63
"
"11","1","295","Brixton Hill","","continued in WANDSWORTH District","","",""
"11","1","296","Brixton Hill","","now contains Brixton Rise and others","1-85 odd","RG 12/411","105-111
"
"11","1","297","Brixton Oval","Effra Road","","","RG 12/414","29
"
"11","1","298","Brixton Road","","","1-103 odd","RG 12/403","159-163
"
"11","1","299","Brixton Road","","","105-141 odd","RG 12/404","73-74
"
"11","1","300","Brixton Road","","","114-178 even","RG 12/404","127-130
"
"11","1","301","Brixton Road","","","143-193 odd","RG 12/404","131-133
"
"11","1","302","Brixton Road","","","180-220 even","RG 12/404","99-101
"
"11","1","303","Brixton Road","","","195-231 odd","RG 12/404","154-156
"
"11","1","304","Brixton Road","","","2-44 even","RG 12/403","134-136
"
"11","1","305","Brixton Road","","","222-272 even","RG 12/405","90-92
"
"11","1","306","Brixton Road","","","233-261 odd","RG 12/405","103-104
"
"11","1","307","Brixton Road","","","263-319A odd","","RG 12/416"
"11","1","308","Brixton Road","","","274-364 even","RG 12/407","16-20
"
"11","1","309","Brixton Road","","","319-365 odd","RG 12/416","45-48
"
"11","1","310","Brixton Road","","","366-372 even","RG 12/407","49
"
"11","1","311","Brixton Road","","","367 Police Station, Brixton Road","RG 12/416","48
"
"11","1","312","Brixton Road","","","369-371 odd","RG 12/414","37, 47
"
"11","1","313","Brixton Road","","","373-417 odd","RG 12/414","35-37
"
"11","1","314","Brixton Road","","","374-470 even","RG 12/407","95-99
"
"11","1","315","Brixton Road","","","419-467 odd","RG 12/414","48-49
"
"11","1","316","Brixton Road","","","472 even","RG 12/407","126
"
"11","1","317","Brixton Road","","","474-500 even","RG 12/407","125
"
"11","1","318","Brixton Road","","","502-508 even","RG 12/407","111, 124-125
"
"11","1","319","Brixton Road","","","510-514 even","RG 12/407","124
"
"11","1","320","Brixton Road","","","Bon Marche Stores","RG 12/416","156-159
"
"11","1","321","Brixton Road","","46-66 even possibly Grand Parade","68-112 even","RG 12/404","57-59
"
"11","1","322","Broad Street","Lambeth Walk","","1-41 odd","RG 12/392","59-61
"
"11","1","323","Broad Street","Lambeth Walk","","50-64 even","RG 12/395","121-122
"
"11","1","324","Broad Street","Lambeth Walk","2-6 even do not exist","8-48 even","RG 12/392","113-115
"
"11","1","325","Brockwell Park","Dulwich Road, Herne Hill","","1-2","RG 12/412","84
"
"11","1","326","Brockwell Park","Dulwich Road, Herne Hill","","Brockwell House and Stables, Brockwell Park","RG 12/412","84
"
"11","1","327","Brockwell Park","Dulwich Road, Herne Hill","","Clarence House and Stables, Brockwell Park","RG 12/412","84-85
"
"11","1","328","Brockwell Park","Dulwich Road, Herne Hill","","The Hall, Brockwell Park","RG 12/412","32
"
"11","1","329","Bromfelde Road","Jeffreys Road","","1-5 odd & 2 even","RG 12/402","3
"
"11","1","330","Bromfelde Road","Jeffreys Road","Remainder in WANDSWORTH District","","",""
"11","1","331","Brook Street","Kennington Road","","116-142 even (was Pleasant Place)","RG 12/366","85-88
"
"11","1","332","Brook Street","Kennington Road","","159-229 odd","RG 12/393","16-17
"
"11","1","333","Brook Street","Kennington Road","","2-114 even","RG 12/393","4-15
"
"11","1","334","Brook Street","Kennington Road","","7-53 odd","RG 12/393","4-11
"
