hisco3,hisco,title3,title5
880,88040,Jewellery and precious metal workers,Silversmiths
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
721,72100,"Metal smelting, converting and refining furnacemen",Metal smelters and furnacemen
873,87340,Sheet metal manufacturing and related workers,"Tinsmith, tinner, or tinker"
873,87330,Sheet metal manufacturing and related workers,Coppersmith or copperware maker
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
720,72000,"Metal workers, Specialisation Unknown","Metal workers, Specialisation Unknown"
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
873,87340,Sheet metal manufacturing and related workers,"Tinsmith, tinner, or tinker"
835,83520,"Cutlers, Metal Grinders, Polishers and Sharpeners",Metal polishers and finishers
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
724,72400,Metal casters and workers in metal casting plants,Metal casters and workers in metal casting plants
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
873,87390,Sheet metal manufacturing and related workers,Other sheet metal workers
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
875,87530,Ship and boat construction workers,Shipwright or ship joiner
875,87530,Ship and boat construction workers,Shipwright or ship joiner
875,87590,Ship and boat construction workers,Other ship builders
875,87530,Ship and boat construction workers,Shipwright or ship joiner
875,87530,Ship and boat construction workers,Shipwright or ship joiner
875,87520,Ship and boat construction workers,Ship and boat builders
875,87550,Ship and boat construction workers,"Block, mast, and tackle maker"
